"Date","Chrome","Safari","Firefox","UC Browser","Samsung Internet","Opera","IE","Edge","Android","KaiOS","Yandex Browser","QQ Browser","IEMobile","Puffin","Coc Coc","mCent","Chromium","Sony PS4","Sogou Explorer","Maxthon","Unknown","Nokia","BlackBerry","360 Safe Browser","Mozilla","Vivaldi","Whale","Whale Browser","Pale Moon","Other"
2018-06,58.94,13.7,5.17,7.46,2.67,3.5,3.12,1.89,1.56,0.4,0.23,0.43,0.17,0.09,0.13,0,0.07,0.06,0.06,0.04,0.03,0.04,0.04,0.02,0.02,0.02,0,0.01,0.01,0.13
2018-07,59.69,13.85,5.02,7.03,2.71,3.35,3.01,1.88,1.56,0.4,0.22,0.36,0.16,0.09,0.11,0,0.07,0.07,0.05,0.04,0.03,0.04,0.04,0.02,0.02,0.02,0,0.01,0.01,0.12
2018-08,59.67,14.51,4.93,6.28,2.87,3.5,3.03,1.9,1.42,0.43,0.22,0.28,0.15,0.1,0.11,0,0.07,0.07,0.05,0.04,0.03,0.04,0.04,0.07,0.02,0.02,0,0.01,0.01,0.1
2018-09,60.6,14.85,5.01,5.42,2.82,3.38,2.85,1.99,1.31,0.44,0.24,0.21,0.14,0.11,0.1,0.03,0.07,0.07,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0,0.01,0.01,0.08
2018-10,61.55,15.13,5.02,4.41,2.76,3.16,2.88,2.08,1.18,0.45,0.26,0.2,0.12,0.1,0.11,0.11,0.08,0.07,0.05,0.04,0.03,0.02,0.03,0.01,0.03,0.02,0,0.01,0.01,0.07
2018-11,61.77,15.09,4.92,4.22,2.73,3.15,2.81,2.15,1.18,0.49,0.27,0.19,0.12,0.1,0.11,0.18,0.08,0.07,0.07,0.04,0.03,0.03,0.02,0.01,0.03,0.02,0,0.01,0.01,0.09
2018-12,62.28,14.69,4.93,4.21,2.94,3.13,2.55,2.03,1.18,0.56,0.26,0.2,0.12,0.12,0.11,0.22,0.08,0.06,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0,0.01,0.01,0.07
2019-01,61.72,15.23,4.66,3.83,3.64,2.91,2.7,2.13,1.15,0.54,0.24,0.22,0.1,0.12,0.09,0.21,0.08,0.06,0.08,0.04,0.03,0.03,0.02,0.03,0.03,0.02,0,0.01,0.01,0.06
2019-02,62.41,15.56,4.39,3.73,3.42,2.87,2.58,2.16,1.09,0.46,0.25,0.19,0.1,0.13,0.07,0.1,0.08,0.06,0.07,0.04,0.03,0.03,0.02,0.02,0.03,0.02,0,0.01,0.01,0.06
2019-03,62.58,15.64,4.7,3.44,3.32,2.73,2.56,2.21,1.04,0.41,0.28,0.19,0.1,0.14,0.12,0.06,0.08,0.07,0.07,0.04,0.02,0.02,0.02,0.02,0.03,0.02,0,0.01,0.01,0.06
2019-04,62.8,15.83,4.86,3.11,3.5,2.56,2.47,2.16,1.04,0.35,0.23,0.2,0.09,0.13,0.12,0.04,0.08,0.07,0.07,0.04,0.02,0.01,0.02,0.02,0.02,0.02,0.05,0.01,0.01,0.05
2019-05,62.98,15.74,5.01,3.13,3.4,2.54,2.46,2.15,0.91,0.37,0.22,0.21,0.08,0.14,0.12,0.03,0.07,0.05,0.08,0.04,0.02,0.01,0.02,0.03,0.03,0.02,0.06,0.01,0.01,0.05
2019-06,63.69,15.15,4.64,3.32,3.53,2.53,2.29,2.14,1,0.4,0.23,0.26,0.07,0.13,0.12,0.02,0.07,0.06,0.05,0.04,0.02,0.01,0.02,0.02,0.03,0.02,0.07,0.01,0.01,0.05
